DBMS,Database Model,May 2025 Score,Apr 2025 Score Change,May 2024 Score Change
SparkleDB,RDF,0.02,0.00,0.00
Acebase,Document,0.01,+0.00,0.00
Resin Cache,Key-value,0.01,0.00,0.00
Hawkular Metrics,Time Series,0.01,0.00,+0.01
gStore,Multi-modelGraph DBMSRDF store,0.01,+0.00,-0.03
SWC-DB, Wide column, Multi-modelWide column storeTime Series DBMS ,0.01,+0.00,0.00
Transbase,Relational,0.01,+0.01,-0.10
Eloquera,Object oriented,0.01,0.00,0.00
OushuDB,Relational,0.00,+0.00,-0.03
VelocityDB,Multi-modelGraph DBMSObject oriented DBMS,0.00,+0.00,-0.05
Siaqodb,Object oriented,0.00,+0.00,+0.00
LedisDB,Key-value,0.00,+0.00,+0.00
SwayDB,Key-value,0.00,+0.00,+0.00
ActorDB,Relational,0.00,±0.00,±0.00
BergDB,Key-value,0.00,±0.00,±0.00
BrightstarDB,RDF,0.00,±0.00,±0.00
Cachelot.io,Key-value,0.00,±0.00,±0.00
CortexDB,Multi-modelDocument storeKey-value store,0.00,±0.00,±0.00
CovenantSQL,Relational,0.00,±0.00,±0.00
DaggerDB,Relational,0.00,±0.00,±0.00
DataFS, Object oriented, Multi-modelObject oriented DBMSGraph DBMS ,0.00,±0.00,-0.06
Edge Intelligence,Relational,0.00,±0.00,±0.00
EdgelessDB,Relational,0.00,±0.00,±0.00
Galaxybase,Graph,0.00,±0.00,±0.00
H2GIS, Spatial, Multi-modelSpatial DBMSRelational DBMS ,0.00,±0.00,±0.00
Helium,Key-value,0.00,±0.00,±0.00
HGraphDB,Graph,0.00,±0.00,±0.00
HyperLevelDB,Key-value,0.00,±0.00,±0.00
iBoxDB,Document,0.00,±0.00,±0.00
Indica,Search engine,0.00,±0.00,-0.04
InfinityDB,Key-value,0.00,±0.00,0.00
JasDB,Document,0.00,±0.00,±0.00
K-DB,Relational,0.00,±0.00,±0.00
Linter, Relational, Multi-modelRelational DBMSSpatial DBMS ,0.00,±0.00,-0.09
Newts,Time Series,0.00,±0.00,±0.00
NSDb,Time Series,0.00,±0.00,±0.00
OpenTenBase,Relational,0.00,±0.00,±0.00
OrigoDB,Multi-modelDocument storeObject oriented DBMS,0.00,±0.00,±0.00
Rizhiyi, Search engine, Multi-modelSearch engineTime Series DBMS ,0.00,±0.00,±0.00
searchxml,Multi-modelNative XML DBMSSearch engine,0.00,±0.00,±0.00
SiriDB,Time Series,0.00,±0.00,±0.00
Skytable,Key-value,0.00,0.00,±0.00
SpaceTime, Spatial, Multi-modelSpatial DBMSRelational DBMS ,0.00,±0.00,±0.00
SvectorDB,Vector,0.00,±0.00,
TerarkDB,Key-value,0.00,±0.00,±0.00
Tkrzw,Key-value,0.00,±0.00,±0.00
TomP2P,Key-value,0.00,±0.00,±0.00
Transwarp ArgoDB, Relational, Multi-modelRelational DBMSSearch engine ,0.00,±0.00,-0.07
Transwarp Hippo,Vector,0.00,±0.00,±0.00
Transwarp KunDB,Relational,0.00,±0.00,-0.10
Transwarp StellarDB,Graph,0.00,±0.00,±0.00
Upscaledb,Key-value,0.00,±0.00,±0.00
WhiteDB,Document,0.00,±0.00,±0.00
